sentence_id	sentence	sentence_domain	source
00e8c7c3653c7ae9a6574d523d1b1666c9ac36d10c9071ddcd9c9fece4a8fec8	تَ زًګ ُّّئ یب د خپلې رّغتیب یب عبهَ ریبست تَ خجرداری ّرکړئ		cdc.gov
019b865df5ab97d1ba38f1ec710c162fc7f7d87cf84ad72a4f07c5f07005ac2c	طالبان د پښتنو او مسلمانانو په لمن تور داغ دي.	general	Everyday life sentence 
01d80a97d7d85050fe84f395bc72310b5f6accf784a78d1dc5eb0e0954356d2f	.ومومئ کې		cdc.gov
02bb11a7585999ab4caa11dba5aaa7c4bcd32f70e23fe56a045fdf07d18c763c	مور هغه هستې ده،چې د ستاينې لپاره يې،په نړۍ کې الفاظ نه موندل کېږې.	general	ليکونکى احمدزى
046a9ddd90d4b3f6e6d3bbcbb6450b3ce0ff082f5d9811b9c5a991553daa651e	زړه مې درپسې ياره په هغه وخت چاودلے دے	general	خپلې جملې مې جوړې کړې۔
049c001e16675c5b2f58778af229c31dbe1e99b4df6e103285fa9d047761872f	نن چې ما ليدلے دے زړۀ مې پرې بايللے دے	general	خپلې جملې مې جوړې کړې۔
04ed6237def2345329ad8fe5406e1981138cf266ed397bb65fd372aee5f58cb4	زما بانک کارت کار نه کيې،زه بايد دفتر سره اړيکه ونيسم		ليکونکى احمدزى
051a60638bc2553142485a07bf0d2e58debeea07d382994afbcefd8d22eb562a	پۀ فېس بک ئې خور کړے وي	general	خپلې جملې مې جوړې کړې۔
057565b52e4dc6f7bb4e06bef854341902ec0f1ec447db9c221338c885ee4843	سوات د ايسپزو افغانانو وطن دے۔	general	خپلې جملې مې جوړې کړې۔
0581d591a7c7ae43132e5f40ac72106b583f7a61465199995e6009f4f45207bc	ماشوم لرونکي عمر کم څخه کلونو		cdc.gov
05b21e668b5fa8dfa4ae9301171d7e279d3ea5fca22a1be06d5a0628d260956a	هیڅ یو داسی عمل نسته چی تا دی نوی کړی.		ه
062d162e734e92b05128540c8c635ef1c271b90c1ca408a8531fc6cbf5efe044	لْړې شي.		cdc.gov
066f89c8e7f28adca9b357b4b83aae8a3d3c97d98b941cb8797a71710c660eda	دوه دړۍ غوښه به پوره وي کۀ زياته راواخلم	general	خپلې جملې مې جوړې کړې۔
0696019a67e774d8f16648fca2bd577b9c7924a109923b19b44fdab0fc8babb6	غې د ننگیال خبرې پورې وخندل.	general	کتاب
06ba49cbffc5de9347deb1e20d635c8fcac03ee1e05d65e6c407ee6232b3d810	صوفي صېب وې مړه بس هسې تشې لوبې دي	general	خپلې جملې مې جوړې کړې۔
06d0382db5036e1df2f81b09071a4aa8edfc122ab4b974d18eb566667310b857	مخکې نه وخت د نو لرې،		cdc.gov
0785494eaf853d38e49e5ccdc965e83566aea79fa985d84204193fc62ae219cc	تورې زلفې مې ماران دي مۀ راځه نزدې	general	خپلې جملې مې جوړې کړې۔
086f87c581774e67adb6181a0f75bd847a5c4e912604cbf21f6c786d73a3c2f7	خاطرآپريدے د خیبر سمې نوموړې شاعر دې		زۀ
08e24f79edeb2ddc099dc762191a30cbd08352e6bc4f4aa4bed7eaee9402404f	څوک پۀ لاره روان وي چې ايله يو قدم وران واخلي	general	خپلې جملې مې جوړې کړې۔
0944823f9871332d61a1f33e7803eb0346007d764727f8b254decd58f0734514	پروپېګنډه پرې زر خورېږي، او ډېره پۀ تېزۍ سره يوه خبره خوره شي	general	خپلې جملې مې جوړې کړې۔
09f6fde0b19c7d14757758aee3ea496fbdc01e9acdb80ad348fcefb527155402	"عام خلک په مشکلاتو کی دی.
"		زما جملی دادی
0a7c025f329560ac62e88f1e9cfcf4ae477485afb95b19a9f8b2a8b00fe863ac	رّغتْى تَ لاړ شئ.		cdc.gov
0adfa844cf5b16189bee2a921048e4b26265bbc7ce5003120d00d9ccf07306a4	خلک د دنيا جهان اخبارونه او مجلې پۀ نېټ لولي	general	خپلې جملې مې جوړې کړې۔
0b7e0d1f383f1c375a5763bb095d047e318950f195a3ad4fb64c573d16a381ce	دا نۀ کوي چې پۀ پېښه کښې د ژوبلو مرسته وکړي	general	خپلې جملې مې جوړې کړې۔
0bcb8ce9365b17b5de0b001bd5ae578df2d268c83bcd974560cef83a81b2ac93	زه اوس موټر چلوم ورته درته زنګ وهم 		صاحب زاده پکتیاوال
0c5e688843d555ace45c6e3345ea2e1f2edb5bb79d2015fb90de3a909d1f99a3	سپين ويښتانو باندې چاته مه وايه چې زوړ شوي يې.		احمدزى
0c7807465d17896f7de97755ac57141e31a222e7e3c03bd3d16976186defd30b	د ّیجبړ شْیْ کْرًّْ خْاتَ پبهلرًَ کْئ		cdc.gov
0da699c4af87f1090280277851d34c08882cde89c8a3962ccc0363bf8fd0da2a	زما دا تره ځوي ، او دا تره لور هم ښونځی وايي		خپله ليکنه ده 
0dd84abb95b6b7b87c10de6c673361fb16c89feb8b2de7cd6cf838a665269d41	تللي پۀ ارمان دي، ما ليدلي مړه زما د مينې عاشقان دي	general	خپلې جملې مې جوړې کړې۔
0e7fc078e5d1cd9bbe4b65c4e332271a3845e1fffaa747010f9ba05c26cfa77d	لیرې نه ځایونو عامه نورو د او .ځئ مه ته		cdc.gov
0f3ebb1becd729bbd0293c6db55a31721e141632b1fa6fc4aaca36ae3da605fe	د خپل ځان سره مې يوسه فريادونه	general	خپلې جملې مې جوړې کړې۔
0f5ff4869b79ebed0b1d5ebb028a1afc07e1f482621914edfac19c543ae7345a	د .شئ پاتې کې کور په		cdc.gov
0f7863a00f0bf8a215f69aec551fb06054b4ac34ddc884723d79345bd7a16d96	مړزان به ټول دوه منټه نۀ جنګېدل خو قيصې او تبصرې به پۀ هفتو	general	خپلې جملې مې جوړې کړې۔
0fcd5009f52f8e085f00f16e16c133d1f938b5a61e13445ca7f31b5f25868e7a	توبه ګار شوم د هموو يارانو نه	general	خپلې جملې مې جوړې کړې۔
1058b0138cb8eb38ea60be50589bbb734f9eecdc153ba15d598bcddd25e8e48b	ژاړمه پۀ زړۀ کښې پۀ ظاهره پۀ خندا يمه	general	خپلې جملې مې جوړې کړې۔
107dde7f653e10d007414e0f1e000af3ce123939d8cb928d11b08718ef372ecb	زۀ دې لېونۍ کړم نور مې صبر د زړۀ نۀ کېږي	general	خپلې جملې مې جوړې کړې۔
11750a7b800d7412cef4876fc3744ca4962cd5d25f3335f3aff8a8738b76a90e	بل کۀ د چا خلاف څۀ دروغ خورول وي نو هغه زر خوارۀ شي	general	خپلې جملې مې جوړې کړې۔
11a4f59e22cf3f2fff7406da48e3f622b5d779c0f08102dd3b5c67ff54ec46f9	Dost hagha che pakar rashi.		https://ww.web.pk/2017/best-pashto-mataloona-proverbs-with-english-translation/
11f3a5ce474b3552cc99ec4bfb4b7e8fc239889d1b622d378f41cc2ecf3cc2fd	هر سړے موبائيل پۀ لاس مصروف وي	general	خپلې جملې مې جوړې کړې۔
121222b1280cbb9e98b4399d36610410ae9384e2955e42797bec4009b415e5df	راشه چې يو بل نه ځارېږو	general	خپلې جملې مې جوړې کړې۔
12b41fbdd5bd12efd20caa3e4711761c5a962b75943dc50ced0d2e88449fe609	خوله او پزه ستاسې ډول بشپړ په		cdc.gov
12d9bee995a2738370c98927a08177769314e06ca23860c44045a5b66b1c5331	ملک الله دادخان ناصرخېل د اشاخېل تپې لوى ملک وو۔	general	خپلې جملې مې جوړې کړې۔
12e5b978d1d89ca8e07d4c4f246d7702fc8ef62f661ab52e2ca8bc6d121057c7	ياره هر چا سره زۀ کوم خندا د مينې	general	خپلې جملې مې جوړې کړې۔
12e697c6f8c8507226f8a21ff77f206ccfa0e29adacea973dd669584cf8f6321	په پورې حد تر امکان د کې ورځو		cdc.gov
134e4f16746709b18e9616d534875f5505a2fc47c9290d8ce36aad5082896cc9	Da taaqat na maharat kha dey.		https://ww.web.pk/2017/best-pashto-mataloona-proverbs-with-english-translation/
136e690f8979177703224453ced2ee56e78623498cefb869edb1f04948b8d1f3	زړۀ کښې مې يادونه وو خيال او امېدونه وو	general	خپلې جملې مې جوړې کړې۔
137995916261207afc092d4c4d40944a490d2320c4734c51035451841f4aee22	محبت هم يو روزګار دے پۀ دنيا کښې	general	خپلې جملې مې جوړې کړې۔
1398cd2158acd427bfaa82dc0f960471b131a47195cac4d9b2608873a2ab612d	پۀ سترګو سترګو کښې تۀ، څه غواړې جنګ د مينې	general	خپلې جملې مې جوړې کړې۔
1563549a0f0e890f93f275a941993baa1edf833ebc2ff16cff8642dec70b9f19	اړخونو مخ د ستاسې او وپوښي		cdc.gov
156669ca70613a2fb4bbd833616c1b3cf0d45e6466bb7de932183dd27daeb78c	په نڅۍ يا سوتلۍ غُوندي ګنډلے شي۔	general	خپلې جملې مې جوړې کړې۔
